fldCustId|fldUserId|fldCustomerName|fldCustomerFlag|fldPasswordEncrMethod|fldPasswordEncrKey|fldAllowRegisterUs|fldIsEmpIdMandatory|fldDefURL|fldDefaultLanguageId|LogOutSetting|LogOutURL|fldisuse3customer|fldmaxstudentlimit|fldallowautomatedreports|fldallowadminssl|fldtimezoneid|Obselete_fldAllowStudentToEditProfile|Obselete_fldAllowStudentToChangeLanguage|fldDisplayEmployeeIDas|Obselete_fldAllowStudentToChangePassword|Obselete_fldAllowStudentToChangeEmailID|Obselete_fldAllowStudentToChangeEmpID|charAllowInheritance|charPrimaryKeyIdentifier|strLftpLocation|strUsername|strPassword|charAutomaticReminder_OLD|charUserPastDueMandatory_OLD|charUserPastDueOptional_OLD|charManagerPastDueMandatory_OLD|charManagerPastDueOptional_OLD|charManagerIncompleteMandatory_OLD|charManagerIncompleteOptional_OLD|charUserIncompleteMandatoryTraining_OLD|charUserIncompleteOptionalTraining_OLD|charRecurrenceType_OLD|intStartTimeHour_OLD|intStartTimeMinute_OLD|charStartTimeAMPM_OLD|dtmStartDate_OLD|fldsupportEmailId|fldsupportOption|charMyReport|intmaxcourses|fldAllowDomain|fldAllowLDAP|IntLogRetentionPeriod|CharUserEmailLog|fldPasswordMethod|fldSelfRegStudPass|fldAutoResetonFailure|fldHandleFailedCourses|Obsolete_intMinPasswordLength|Obsolete_chrIsPasswordUniquenessRequired|Obselete_CharManagerPermission|charIsEmailIdMandatory|charIsUserLoginWithEmailId|charIsUserLoginWithEmployeeId|charEcommerce|charSelfRegEmailVerification|fldAllowRegDivDepSelection|Obselete_charAllowUserToChangeHireDate|charCertificationCourseUnEnrollmentSetting|strTheme|strCustomName|bitDisplayForgotPasswordLink|bitDisplayLanguageSelector|Obselete_charAllowUserToChangeCompanyOrEmployer|Obselete_charAlloUserToChangeTimeZone|intFindUsersLimit|bitILT|bitIncludeiCalendarILT_OLD|bitIncludeiCalendarWBT_OLD|intILTSessionsLimit|SharedKey|bitRequireUserToAgreeTermsService|intEditionID|intAuthorCount|intManagerCount|intOrgAdminCount|intPasswordAdminCount|dtCreatedOn|strARBSubscriptionID|dtSubscriptionStartDate|strAccountGUID|bitDisplayPortalCalendarLink|bitDisplayLearnerCalendarlink|bitCertification|bitEnableCustomField|Obselete_charAllowStudentSCORMFootPrint|bitAllowManagerToChangeUserTranscript|bitPreserveCertificate|bitSendCertificateInPDF_OLD|bitEnableEmailNotifications_OLD|intInactivateUserGracePeriod|bitInactivateUser|bitEnrollMeInCourseDefaultFlag|bitIsEnableVolumeDiscount|strDefaultPage|bitIsFooterEnabled|intMinThreshold|intMaxThreshold|Obsolete_bitPasswordIncludeUpperCase|Obsolete_bitPasswordIncludeNumeric|Obsolete_bitPasswordIncludeSpecialChar|bitEnableAccountLockOutPolicy|intAccountLockoutFailedAttemptThreshold|bitEnableAccountUnLockPolicy|intAccountUnLockAfterMinutes|Obsolete_bitEnablePasswordExpirationPolicy|Obsolete_intPasswordValidForDays|strOldPasswordEncrMethod|bitIsBrandingEnabled|charCreatedByMethod|strEmailRelayOption|bitSwitchToNewLC|charAccountType|bitIsEAEIntegration|charEAEReportType|bitIsAppIntegration|bitSAMLVerificationEnable|bitShowCompletedCourses|bitIsUserMustChangePassword|bitIsSkipLearnerDashboard|bitIsZoltarEnable|sys_ROWVERSION|strCreatedByClient
1|2|Tesst Org|A|SHA2|I4YdYt5OpaDddh+ZceqUJsd0En0iwraU+KE5h9GLNKI=|0|0|C|1|C|NULL|Y|-1|Y|Y|2|Y|N|NULL|Y|Y|Y|Y|e|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|qYIZIdk4o4kRCxdN6I2N8DOoXfsx+iS7jPKvjrK4o3s=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71DB|NULL
2|3|Image Org|A|SHA2|A9vZTrw7Z9/Ntx+RfSOZDTcVj+N5AtO27iDldeDbGA4=|0|0|C|1|C|NULL|Y|-1|Y|Y|1|Y|Y|Vendor Id|Y|Y|Y|Y|E|NULL|NULL|NULL|NULL|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|200|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|N|Y|Y|N|Y|N|Y|N|NULL|Custom|ImageRavi1234|0|1|N|N|-1|0|1|0|-1|pY8QMPWKLJyWNcQ4Pj265d3iG2wAcNLJK+dNL7n7h9A=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|0|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|1|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71DC|NULL
3|4|ABC Demo|A|SHA2|fankCcN1lRkU1UG7CVMxLimb48AQMQB/MhSu344okI8=|0|1|C|1|C|NULL|Y|-1|Y|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |UserSpecfiedPass|NULL|N|2|NULL|NULL|NULL|Y|N|Y|N|N|N|N|NULL|Red|adcdemo|1|1|N|N|-1|0|1|0|-1|fZdRJouYcORPUgH9A3Ee4XYPi6omgcm0cMUoCglFnEM=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|0|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|1|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71DD|NULL
4|13|ClassRoomOrg|I|SHA2|LwQV60TCT4wkERUxYSwgD/AphKXg4GIFDz+q8p7QpyA=|1|0|C|1|C|NULL|Y|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|Y7AEDx5kJnn0EjzhsCvXML4muuwRQ9N1H7H0l8CY0wk=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71DE|NULL
5|15|Sorg|I|SHA2|iwT5oqzFH7DwU8PPixTl/qfMka6c2Sz9L9JmIoH7Z34=|0|0|C|1|C|NULL|Y|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|t0Xs15Kve2ZswwIRAe7+YwALjtI/EFlQaHZ35i8ba2M=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71DF|NULL
7|23|TestSVL|I|SHA2|eO+kz6x1LtCjxrFS2p96Cck0AWzkfwjszTsL3c4mB/0=|0|0|C|1|C|NULL|Y|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|RN1yruAm0lRJH1mN0obaTW+px1glzxb1ug7FIopvgow=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E0|NULL
8|24|SVLTest1|A|SHA2|kJADjHucR1w2Klz/mLsK1FTWKghNe3z8Cu/UhgwyBSw=|1|1|C|1|C||Y|-1|Y|Y|2|Y|Y||Y|Y|Y|Y|D|NULL|NULL|NULL|N|Y|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|SVLTest1@iel.com|1|N|-1|N|Y|1|D |AutoGenPass|NULL|N|2|6|Y|N|N|N|Y|Y|Y|Y|N|A|Green|svltest21|1|1|Y|Y|6|1|1|0|-1|qcaTS234AUNyUtcgxXTwcrvbn8HzrRB8Hm0t+IyUXN0=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|1|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|1|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|1|MAN|S|1|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E1|NULL
9|25|sadf|I|SHA2|kXTG5XykzOWh4rOzDgdSk9EGWpTvYASVyKVJkDgGQao=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|0qnajXRkLgFi42NRnM4zRWaJToZugG2Uu+LHDWL9Fgk=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E2|NULL
10|26|asdfrrth|I|SHA2|Poi5mq2BWJcM7Ye3piFe+erBDmwv+GrByljad/4MIxc=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|8GfBQQZhTDgbT1nFORVfyv3XvJpfQDKvzZE+h485THc=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E3|NULL
11|27|asdfer123|I|SHA2|I4YdYt5OpaDddh+ZceqUJsd0En0iwraU+KE5h9GLNKI=|0|0|C|1|C|NULL|N|-1|N|Y|2|Y|N|NULL|Y|Y|Y|Y|E|NULL|NULL|NULL|N|N|N|Y|Y|Y|N|N|N|D|8|0|PM|2012-02-23 00:00:00.000|NULL|1|N|-1|Y|Y|1|D |NULL|NULL|N|2|NULL|NULL|NULL|NULL|NULL|NULL|N|N|Y|N|NULL|Gray|NULL|1|1|N|N|NULL|NULL|1|0|-1|HDs5e1cwGj36Tbvd5qr6il7ffr5KyDJJryk1L9AFSbU=|0|1|NULL|NULL|NULL|NULL|2011-04-19 06:45:53.810|NULL|NULL|NULL|0|0|0|1|Y|NULL|1|0|NULL|0|0|0|NULL|default.aspx|NULL|50|70|0|0|0|0|NULL|0|NULL|0|90|AES|0|MAN|S|0|P|0|NULL|1|0|1|0|0|0|0x00000000006D71E4|NULL
